NR	NQ	NP	num_processes	run_index	benchmark_type	processor_model	id	time	overhead
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1376.856207	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1056.424175	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1099.008024	1
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1041.802481	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1438.065704	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1012.315163	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1248.294537	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1397.776899	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1001.978737	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1067.534046	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1194.753584	1
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1097.197628	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1090.960236	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1044.280914	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1126.016554	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1153.66926	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1113.143293	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1095.908201	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1190.928391	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1154.947292	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1009.138424	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1034.655258	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1079.120726	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1060.719772	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1180.087021	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1117.129797	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1105.836897	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1031.252398	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1268.14587	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1606.462866	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1680.97508	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1129.213589	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	975.108734	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	983.051476	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	963.949011	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	971.695545	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	975.547089	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1018.693926	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1525.150274	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1020.06312	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1095.460588	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	952.623707	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	980.218369	1
128	512	512	1	0	basic	XeonE3_1585Lv5	2	953.704815	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1012.285606	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1169.309748	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1005.587067	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	993.542091	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1005.246639	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1439.699476	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1327.490492	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	969.025887	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1320.711472	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1329.749212	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	2224.205555	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1272.499868	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1023.476664	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1098.391266	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1022.579302	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1052.05451	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1129.492414	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1089.305454	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1157.27474	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1136.928431	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	974.136232	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1143.247726	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1241.196814	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1083.414185	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1216.419588	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1091.588747	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1008.627779	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1003.003231	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1333.129997	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1066.624573	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1417.724379	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1024.620804	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1081.334579	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1102.563654	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1762.653744	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1059.170397	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1066.993845	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1477.340345	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	2347.218166	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1550.573814	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1111.520559	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1049.339983	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1614.475405	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1003.446213	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	989.589769	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1078.545273	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1246.71311	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1598.089251	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	997.709137	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1093.554043	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1427.540548	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1055.416422	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1168.532389	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1019.438526	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1362.442116	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	993.721563	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1023.47987	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	984.714802	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	987.826378	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	987.28974	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1094.834215	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	988.254406	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	1179.046505	0
128	512	512	1	0	basic	XeonE3_1585Lv5	2	995.390232	0
