alternative,n,time_steps,ghost_cells,cores,run,kernel_time,effective_time
lsb,1000000,1000,8,1,0,1142176.344272,1146139.0088230001
lsb,1000000,1000,8,1,1,1139765.9023649998,1143805.7300019998
lsb,1000000,1000,8,1,2,1139113.1450419996,1143181.3403539998
lsb,1000000,1000,8,1,3,1141586.56984,1145528.742692
lsb,1000000,1000,8,1,4,1141773.3452290003,1146087.9629050004
lsb,1000000,1000,8,1,5,1141460.781278,1146461.8349889999
lsb,1000000,1000,8,1,6,1142637.6919120003,1146583.0234550002
lsb,1000000,1000,8,1,7,1140633.793476,1144531.325214
lsb,1000000,1000,8,1,8,1142052.610863,1145999.934105
lsb,1000000,1000,8,1,9,1139449.3042259999,1143358.6675069998
lsb,1000000,1000,8,2,0,1259914.096681,1266685.763661
lsb,1000000,1000,8,2,1,1254174.9584950001,1260665.935557
lsb,1000000,1000,8,2,2,1261357.8115210002,1268415.9536099997
lsb,1000000,1000,8,2,3,1262235.3896519998,1269239.408696
lsb,1000000,1000,8,2,4,1264758.1713860002,1271885.7021450002
lsb,1000000,1000,8,2,5,1239934.598628,1245411.7788090003
lsb,1000000,1000,8,2,6,1174625.578609,1182242.361324
lsb,1000000,1000,8,2,7,1260042.243657,1266804.2988330002
lsb,1000000,1000,8,2,8,1261884.75781,1269443.645995
lsb,1000000,1000,8,2,9,1263534.428719,1271255.8623030002
lsb,1000000,1000,8,4,0,1481613.7055610002,1493686.3481390001
lsb,1000000,1000,8,4,1,1375649.698729,1382685.7827110002
lsb,1000000,1000,8,4,2,1498138.7997980001,1510625.3276300002
lsb,1000000,1000,8,4,3,1375403.25391,1382432.831547
lsb,1000000,1000,8,4,4,1473517.929685,1487645.2988260002
lsb,1000000,1000,8,4,5,1520107.221196,1531369.332514
lsb,1000000,1000,8,4,6,1378584.813475,1385732.138181
lsb,1000000,1000,8,4,7,1476575.4448219999,1489891.9785169999
lsb,1000000,1000,8,4,8,1471690.024906,1483406.789554
lsb,1000000,1000,8,4,9,1378563.08595,1385330.8383769998
lsb,1000000,1000,8,6,0,1537246.2182620002,1549139.971674
lsb,1000000,1000,8,6,1,1548410.0795890002,1560210.4736320002
lsb,1000000,1000,8,6,2,1567919.43506,1578529.6093749998
lsb,1000000,1000,8,6,3,1411854.3051729999,1426313.1967820001
lsb,1000000,1000,8,6,4,1549877.0698229999,1563190.89746
lsb,1000000,1000,8,6,5,1598729.914544,1613638.0019550002
lsb,1000000,1000,8,6,6,1393167.4677810003,1403345.783201
lsb,1000000,1000,8,6,7,1519746.1762689997,1532894.2334009998
lsb,1000000,1000,8,6,8,1536996.3017530001,1547799.8246990002
lsb,1000000,1000,8,6,9,1424452.3813450001,1434409.010257
lsb,1000000,1000,8,8,0,2052318.553709,2064575.1064479998
lsb,1000000,1000,8,8,1,2172291.7295,2184693.6376890005
lsb,1000000,1000,8,8,2,2143916.457029,2157214.651365
lsb,1000000,1000,8,8,3,2053889.609861,2065024.2602460003
lsb,1000000,1000,8,8,4,2145906.7065419997,2158992.2880890006
lsb,1000000,1000,8,8,5,2322106.7138720006,2333104.0376020004
lsb,1000000,1000,8,8,6,2050217.463368,2063132.77538
lsb,1000000,1000,8,8,7,2146002.5546890004,2157679.460444
lsb,1000000,1000,8,8,8,2182892.724611,2194936.3779269997
lsb,1000000,1000,8,8,9,2155588.154781,2167465.315916
lsb,1000000,1000,8,10,0,2154070.733882,2166536.4565439993
lsb,1000000,1000,8,10,1,2146141.0507860007,2159010.0952130007
lsb,1000000,1000,8,10,2,2666926.957515,2680074.295899
lsb,1000000,1000,8,10,3,2073092.9204129998,2086076.969246
lsb,1000000,1000,8,10,4,2327481.625004,2341150.7353569996
lsb,1000000,1000,8,10,5,2096024.5029299997,2108817.291503
lsb,1000000,1000,8,10,6,2120420.6752910004,2135384.24073
lsb,1000000,1000,8,10,7,2096348.4501939998,2109540.1601509997
lsb,1000000,1000,8,10,8,2156857.868159,2169941.426757
lsb,1000000,1000,8,10,9,2245204.988768,2258519.7265620003
lsb,1000000,1000,8,12,0,2715827.3339850004,2728265.7519529997
lsb,1000000,1000,8,12,1,2153498.4252859997,2168765.9975610003
lsb,1000000,1000,8,12,2,2206890.9169900003,2219568.658204
lsb,1000000,1000,8,12,3,2063916.4843649997,2079460.710932
lsb,1000000,1000,8,12,4,2955007.0839839997,2978593.0512659997
lsb,1000000,1000,8,12,5,2258543.1201119996,2272153.5004889998
lsb,1000000,1000,8,12,6,2134944.188474,2150414.053713
lsb,1000000,1000,8,12,7,2196894.1982380003,2210594.845702
lsb,1000000,1000,8,12,8,2235862.51367,2254126.1870049997
lsb,1000000,1000,8,12,9,2407026.62011,2419108.6049760003
lsb,1000000,1000,8,14,0,2892653.6171870003,2907105.533687
lsb,1000000,1000,8,14,1,2062207.427737,2074148.4106439997
lsb,1000000,1000,8,14,2,2174719.1176819997,2186622.840334
lsb,1000000,1000,8,14,3,2100959.6762630004,2113568.638668
lsb,1000000,1000,8,14,4,2120531.9936519996,2136181.239258
lsb,1000000,1000,8,14,5,2411005.8027279996,2424183.984862
lsb,1000000,1000,8,14,6,2148235.225584,2159584.99756
lsb,1000000,1000,8,14,7,2311806.9272469995,2325291.452641
lsb,1000000,1000,8,14,8,2249585.951168999,2261620.3061530003
lsb,1000000,1000,8,14,9,2180962.093258,2194311.49267
lsb,1000000,1000,8,16,0,2332603.6782109994,2346658.7021489996
lsb,1000000,1000,8,16,1,2306342.5000010002,2316807.3447299995
lsb,1000000,1000,8,16,2,2751825.9936590004,2762761.588871
lsb,1000000,1000,8,16,3,2237975.2319389996,2250571.828619
lsb,1000000,1000,8,16,4,2347968.736337,2359525.0107400003
lsb,1000000,1000,8,16,5,2250142.2392519997,2261716.321778
lsb,1000000,1000,8,16,6,2557899.5009759995,2569223.3740280005
lsb,1000000,1000,8,16,7,2414973.46484,2426320.388188
lsb,1000000,1000,8,16,8,2544687.334955999,2555895.5854510004
lsb,1000000,1000,8,16,9,2336888.7353410004,2347535.6171840006
lsb,1000000,1000,8,18,0,2298628.490723,2310351.3671870003
lsb,1000000,1000,8,18,1,2291134.1035180003,2302203.3530380004
lsb,1000000,1000,8,18,2,2215713.8286160002,2230051.451178
lsb,1000000,1000,8,18,3,2540332.5839880006,2553336.37012
lsb,1000000,1000,8,18,4,2310258.2197319996,2321850.927241
lsb,1000000,1000,8,18,5,2259524.8056679997,2270671.213379
lsb,1000000,1000,8,18,6,3077112.2753950004,3101981.305175
lsb,1000000,1000,8,18,7,2905575.382321999,2918347.971189
lsb,1000000,1000,8,18,8,2641575.7124020006,2656711.9477580003
lsb,1000000,1000,8,18,9,3021137.9555650004,3033565.938962
lsb,1000000,1000,8,20,0,2327128.9970619995,2338240.257806
lsb,1000000,1000,8,20,1,2266410.665043,2280296.531735
lsb,1000000,1000,8,20,2,2284484.8354480006,2296761.214357
lsb,1000000,1000,8,20,3,2463910.017582,2485384.421879
lsb,1000000,1000,8,20,4,2432569.2123989994,2460741.544435
lsb,1000000,1000,8,20,5,2335736.5336849997,2348621.3613320002
lsb,1000000,1000,8,20,6,2601253.789064999,2612638.4863259997
lsb,1000000,1000,8,20,7,3065005.3427779996,3085568.294916
lsb,1000000,1000,8,20,8,2698032.387204,2717857.6582
lsb,1000000,1000,8,20,9,2387702.770509001,2400687.2309640003
lsb,1000000,1000,8,22,0,3037922.5161119998,3049980.5849580006
lsb,1000000,1000,8,22,1,2306057.1406199997,2322575.022947
lsb,1000000,1000,8,22,2,2381461.7822299995,2393627.578614
lsb,1000000,1000,8,22,3,2297203.990235,2310442.4282199997
lsb,1000000,1000,8,22,4,2307220.446777,2321239.583016
lsb,1000000,1000,8,22,5,2458368.3833,2471105.0195319997
lsb,1000000,1000,8,22,6,2273654.2670940002,2286378.629392
lsb,1000000,1000,8,22,7,2329780.486813,2342837.91211
lsb,1000000,1000,8,22,8,2637982.712897,2652118.2797859996
lsb,1000000,1000,8,22,9,2342933.7944309996,2356089.8212900003
lsb,1000000,1000,8,24,0,2438444.161134,2449105.236817
lsb,1000000,1000,8,24,1,2962461.888185,2975117.7221669997
lsb,1000000,1000,8,24,2,2487529.298331999,2500201.242671
lsb,1000000,1000,8,24,3,3251500.251475,3275745.6171839996
lsb,1000000,1000,8,24,4,2858321.955081,2870462.026366
lsb,1000000,1000,8,24,5,2381642.173831,2395180.821289
lsb,1000000,1000,8,24,6,2553714.09326,2575630.502446
lsb,1000000,1000,8,24,7,2343628.0600589993,2356777.9677770003
lsb,1000000,1000,8,24,8,2792108.0380869997,2805749.212891
lsb,1000000,1000,8,24,9,3129278.4492200003,3153727.491698
lsb,1000000,1000,8,26,0,2748524.071288,2762898.8896480007
lsb,1000000,1000,8,26,1,2403685.7260660003,2416716.8730490003
lsb,1000000,1000,8,26,2,2924374.851555,2937927.147463
lsb,1000000,1000,8,26,3,2798374.2470670003,2813463.084962
lsb,1000000,1000,8,26,4,2516012.571290001,2531527.83594
lsb,1000000,1000,8,26,5,2557007.6674760003,2585513.2436490003
lsb,1000000,1000,8,26,6,2678509.9707079995,2693169.7309639994
lsb,1000000,1000,8,26,7,2711204.973637,2725555.2109330003
lsb,1000000,1000,8,26,8,2336099.922369,2354536.6884729997
lsb,1000000,1000,8,26,9,3130739.863766,3152658.2739320006
lsb,1000000,1000,8,28,0,3200517.1918969997,3211902.245123999
lsb,1000000,1000,8,28,1,2671516.5781289996,2684298.551765
lsb,1000000,1000,8,28,2,3433448.85351,3457396.203124
lsb,1000000,1000,8,28,3,2799498.4897490004,2827393.863289
lsb,1000000,1000,8,28,4,2832245.583985,2844947.871582
lsb,1000000,1000,8,28,5,3094124.2939440003,3114123.3481509998
lsb,1000000,1000,8,28,6,2654832.173834,2671815.404295
lsb,1000000,1000,8,28,7,2898136.203125,2910909.4404210006
lsb,1000000,1000,8,28,8,3261630.488765,3275095.6210979996
lsb,1000000,1000,8,28,9,3417839.2333950005,3433296.900392
lsb,1000000,1000,8,30,0,2994950.4921890004,3010033.8471640004
lsb,1000000,1000,8,30,1,2778126.357432999,2805230.745598
lsb,1000000,1000,8,30,2,3017851.5610289997,3043414.9228509995
lsb,1000000,1000,8,30,3,3003566.2602559994,3020084.870112
lsb,1000000,1000,8,30,4,2826384.9018560005,2847929.7817380005
lsb,1000000,1000,8,30,5,2995696.48828,3011435.3237389997
lsb,1000000,1000,8,30,6,3055346.555661999,3070255.4892580006
lsb,1000000,1000,8,30,7,2885265.6757779997,2903632.3784190007
lsb,1000000,1000,8,30,8,2805688.912113,2820476.8666940005
lsb,1000000,1000,8,30,9,2869913.387693,2914785.3696249994
lsb,1000000,1000,8,32,0,3061421.7783210007,3081282.838375
lsb,1000000,1000,8,32,1,2845164.872549999,2859477.308596
lsb,1000000,1000,8,32,2,3361237.48974,3374690.230957
lsb,1000000,1000,8,32,3,3452362.997561,3478302.983402001
lsb,1000000,1000,8,32,4,3354807.5541960006,3374602.6772410003
lsb,1000000,1000,8,32,5,2787403.8867169996,2804828.5917970007
lsb,1000000,1000,8,32,6,3026654.464842,3040830.697758
lsb,1000000,1000,8,32,7,3354847.507327,3369504.415038
lsb,1000000,1000,8,32,8,2935943.1909110006,2949349.9995150003
lsb,1000000,1000,8,32,9,3057340.3969749995,3071937.1997060003
lsb,1000000,1000,8,34,0,3515266.879882,3542992.475596
lsb,1000000,1000,8,34,1,3351139.9013650003,3366842.3037129994
