n,time_steps,ghost_cells,cores,run,rank,alternative,total_time,init_time,compute_time,sync_time,write_time,kernel_time,effective_time
1000000,1000,8,10,0,0,lsb,2174458.3266700003,9828.358398,1269904.018073,851140.3105510001,43585.639648000004,2121044.328624,2164629.9682719996
1000000,1000,8,10,0,1,lsb,2174917.9404309997,10200.021973,1181159.2026360002,948462.2417009999,35096.474121,2129621.444337,2164717.9184580003
1000000,1000,8,10,0,2,lsb,2174357.4047809998,9877.143066,1195022.7167930005,943073.2587890001,26384.286133,2138095.975582001,2164480.261715001
1000000,1000,8,10,0,3,lsb,2174850.660641,10245.700195,1240839.7934530003,906013.0478520001,17752.119141,2146852.8413050002,2164604.960446
1000000,1000,8,10,0,4,lsb,2174258.578615,9772.839355,2109549.6899400004,44134.525882,10801.523438,2153684.2158220005,2164485.7392600006
1000000,1000,8,10,0,5,lsb,2174843.323241,10292.348145,2108045.372564,45718.58739499999,10787.015137,2153763.959959,2164550.975096
1000000,1000,8,10,0,6,lsb,2174363.5590770002,9826.784668,2151311.427244,2759.3066379999996,10466.040527,2154070.733882,2164536.7744090003
1000000,1000,8,10,0,7,lsb,2174888.63916,10330.037598,2149446.6118130004,4552.240237,10559.749512,2153998.8520500003,2164558.6015620003
1000000,1000,8,10,0,8,lsb,2174627.1547890003,10992.084473,1177000.3667000001,970722.1196320001,15912.583984,2147722.4863320002,2163635.0703160004
1000000,1000,8,10,0,9,lsb,2175075.040528,8538.583984,649907.1826190001,1491251.6391589995,25377.634766,2141158.8217779994,2166536.4565439993
1000000,1000,8,12,0,0,lsb,2738508.601075,12056.308594,2627122.091313,88093.136715,11237.064453,2715215.228028,2726452.292481
1000000,1000,8,12,0,1,lsb,2738232.0473570004,11582.137695,2634374.330074,81325.178709,10950.400879,2715699.508783,2726649.909662
1000000,1000,8,12,0,10,lsb,2738715.9677839996,10475.654297,705451.957036,1947010.3496150002,75778.006836,2652462.306651,2728240.313487
1000000,1000,8,12,0,11,lsb,2738365.053225,12433.70752,1147861.9052710002,1492515.92725,85553.51318400001,2640377.832521,2725931.3457049998
1000000,1000,8,12,0,2,lsb,2738655.810059,12127.933105,2660143.2104520006,55684.123533,10700.542969,2715827.3339850004,2726527.8769540004
1000000,1000,8,12,0,3,lsb,2738156.8476599995,11655.034668,2659887.1743189995,55909.207032,10705.431641,2715796.3813509997,2726501.8129919996
