alternative,n,time_steps,ghost_cells,cores,run,kernel_time,effective_time
lsb,1000000,1000,1,1,0,1144387.0744679999,1153337.7849169997
lsb,1000000,1000,1,1,1,1145877.425057,1156753.252205
lsb,1000000,1000,1,1,2,1146529.205337,1155261.2336570001
lsb,1000000,1000,1,1,3,1143910.8024990002,1152738.0354090002
lsb,1000000,1000,1,1,4,1143727.103763,1153066.654544
lsb,1000000,1000,1,4,0,1423493.424801,1443454.6503869998
lsb,1000000,1000,1,4,1,1415651.03516,1443598.3784200002
lsb,1000000,1000,1,4,2,1535394.151365,1576961.9897440001
lsb,1000000,1000,1,4,3,1893564.3403440001,1951657.8105590001
lsb,1000000,1000,1,4,4,1455630.1030279999,1482638.7075059998
lsb,1000000,1000,1,8,0,2671884.002929,2715753.5820240006
lsb,1000000,1000,1,8,1,2926914.577147,2964295.316405
lsb,1000000,1000,1,8,2,3282257.8886679998,3334714.100582
lsb,1000000,1000,1,8,3,2737107.942396,2780078.096205
lsb,1000000,1000,1,8,4,4491554.89308,4555279.864755
lsb,1000000,1000,1,12,0,3111953.68018,3186526.262718
lsb,1000000,1000,1,12,1,2936681.477572,3018972.3515830003
lsb,1000000,1000,1,12,2,2810756.0659350003,2857202.8969759997
lsb,1000000,1000,1,12,3,3849832.100116,3924739.148938
lsb,1000000,1000,1,12,4,2893852.0522290003,2976549.2597890003
lsb,1000000,1000,1,16,0,3052468.475594,3118918.765629
lsb,1000000,1000,1,16,1,3793004.298831,3886380.8241979997
lsb,1000000,1000,1,16,2,3093836.043461,3177110.9843790005
lsb,1000000,1000,1,16,3,2947486.9594720006,3050874.738765
lsb,1000000,1000,1,16,4,3862552.978028,3961343.2124
lsb,1000000,1000,1,20,0,4383888.404789999,4508640.943851999
lsb,1000000,1000,1,20,1,3173809.701161,3276731.434561
lsb,1000000,1000,1,20,2,5469170.569835,5581846.873518
lsb,1000000,1000,1,20,3,3078430.434091,3182575.3828209997
lsb,1000000,1000,1,20,4,3304338.9555439996,3397996.52928
lsb,1000000,1000,1,24,0,3602249.489233,3747755.526878
lsb,1000000,1000,1,24,1,3400522.323733,3517463.22803
lsb,1000000,1000,1,24,2,3422319.7495170003,3530957.188962
lsb,1000000,1000,1,24,3,3410115.358379,3529942.3286139998
lsb,1000000,1000,1,24,4,3316251.077633,3453217.154291
lsb,1000000,1000,1,28,0,3709504.2538880003,3818953.117663
lsb,1000000,1000,1,28,1,3752835.7680659993,3922687.1396429995
lsb,1000000,1000,1,28,2,4814915.174336,4954329.84179
lsb,1000000,1000,1,28,3,3654635.9042760003,3815695.7363320007
lsb,1000000,1000,1,28,4,3562671.639648,3721951.8232319998
lsb,1000000,1000,1,32,0,3907196.1445370005,4061878.630366
lsb,1000000,1000,1,32,1,3899381.243654,4093776.408195
lsb,1000000,1000,1,32,2,4206712.018556001,4359896.309557
lsb,1000000,1000,1,32,3,4336242.9785130005,4497201.50832
lsb,1000000,1000,1,32,4,4090016.654786,4247260.936505
lsb,1000000,1000,1,36,0,4266863.821792999,4458419.499525001
lsb,1000000,1000,1,36,1,4247637.121091,4449128.753423
lsb,1000000,1000,1,36,2,4492820.308609,4688080.766586
lsb,1000000,1000,1,36,3,4334692.260279,4538684.957022999
lsb,1000000,1000,1,36,4,4494829.754892,4656727.033664
lsb,1000000,1000,1,40,0,4880692.961916,5074720.579096
lsb,1000000,1000,1,40,1,4924696.590817999,5123102.902827
lsb,1000000,1000,1,40,2,4770012.335457,5002608.3535090005
lsb,1000000,1000,1,40,3,6041527.799814999,6228722.627928
lsb,1000000,1000,1,40,4,4688407.224603001,4939572.580563
lsb,1000000,1000,1,44,0,5197343.923351,5352439.838378
lsb,1000000,1000,1,44,1,5284433.247547,5522692.638686001
lsb,1000000,1000,1,44,2,5114586.854967,5357262.936036
lsb,1000000,1000,1,44,3,5240959.063015,5451890.166507
lsb,1000000,1000,1,44,4,5316509.568376999,5498366.157710001
lsb,1000000,1000,1,48,0,5494021.533197999,5661238.66994
lsb,1000000,1000,1,48,1,5617407.425781,5848289.205602
lsb,1000000,1000,1,48,2,5642476.107912,5846389.171885
lsb,1000000,1000,1,48,3,5390232.04395,5600901.081073
lsb,1000000,1000,1,48,4,5717710.4248130005,5959587.048361001
lsb,1000000,1000,2,1,0,1153055.7562270002,1162384.169313
lsb,1000000,1000,2,1,1,1151820.829966,1164615.8245950001
lsb,1000000,1000,2,1,2,1148734.887107,1158346.973533
lsb,1000000,1000,2,1,3,1147465.690329,1156947.3534149998
lsb,1000000,1000,2,1,4,1177308.3612179998,1187200.5633659998
lsb,1000000,1000,2,4,0,1450240.945799,1524817.9458100002
lsb,1000000,1000,2,4,1,1535771.173833,1563519.7402260003
lsb,1000000,1000,2,4,2,1450444.516603,1481145.170412
lsb,1000000,1000,2,4,3,1860978.2265529998,1941434.94529
lsb,1000000,1000,2,4,4,1602632.0468539998,1642954.8759559998
lsb,1000000,1000,2,8,0,2379662.791503,2419492.89453
lsb,1000000,1000,2,8,1,2448388.904791,2494974.183109
lsb,1000000,1000,2,8,2,2555712.384284,2610134.3476629998
lsb,1000000,1000,2,8,3,2469636.0839750003,2513609.6455029994
lsb,1000000,1000,2,8,4,2385410.066416,2431971.5517509994
lsb,1000000,1000,2,12,0,2424787.6962900003,2484848.512199
lsb,1000000,1000,2,12,1,2695842.317859,2748052.3715670006
lsb,1000000,1000,2,12,2,2718429.164558,2799240.64162
lsb,1000000,1000,2,12,3,2535390.157218,2590587.4321479998
lsb,1000000,1000,2,12,4,2516634.809095,2567738.6337960004
lsb,1000000,1000,2,16,0,3518504.349604,3664408.36133
lsb,1000000,1000,2,16,1,2512841.252943,2576482.013174
lsb,1000000,1000,2,16,2,3653713.0273609995,3725847.454104
lsb,1000000,1000,2,16,3,2582286.915043,2660963.226074
lsb,1000000,1000,2,16,4,2719637.1489460003,2782947.438485
lsb,1000000,1000,2,20,0,2612204.587882,2692420.177724
lsb,1000000,1000,2,20,1,2863381.5205059997,2972130.6000949997
lsb,1000000,1000,2,20,2,3310439.7753979997,3422029.8159200004
lsb,1000000,1000,2,20,3,3254678.00781,3323187.951652
lsb,1000000,1000,2,20,4,2810269.9853439997,2904819.9980209996
lsb,1000000,1000,2,24,0,2812535.494633,2921286.542459
lsb,1000000,1000,2,24,1,3107862.5009749997,3206680.6987059996
lsb,1000000,1000,2,24,2,2858509.944811,2951945.306146
lsb,1000000,1000,2,24,3,3143391.0879009995,3247900.6054620002
lsb,1000000,1000,2,24,4,3305830.8007810004,3432945.3994140006
lsb,1000000,1000,2,28,0,2909548.05125,3018024.614741
lsb,1000000,1000,2,28,1,3297572.1376879998,3410760.1557599995
lsb,1000000,1000,2,28,2,2912768.619639,3047357.552265
lsb,1000000,1000,2,28,3,3030563.034175,3141015.107909
lsb,1000000,1000,2,28,4,3096133.139654,3205140.975584
lsb,1000000,1000,2,32,0,3712193.641114,3815469.9794960003
lsb,1000000,1000,2,32,1,3259357.597651,3404145.263157
lsb,1000000,1000,2,32,2,3278582.269539,3395294.636232
lsb,1000000,1000,2,32,3,3367304.326182,3487973.268059
lsb,1000000,1000,2,32,4,3177232.711451,3357331.5151279997
lsb,1000000,1000,2,36,0,4045262.8681669994,4162024.8032220006
lsb,1000000,1000,2,36,1,3476622.6401440003,3612085.596675
lsb,1000000,1000,2,36,2,4877814.561526,4978551.7353489995
lsb,1000000,1000,2,36,3,3426366.725111,3572922.858891
lsb,1000000,1000,2,36,4,3879663.300777,3975579.43018
lsb,1000000,1000,2,40,0,4428865.130881,4557686.576178
lsb,1000000,1000,2,40,1,3997936.6572269998,4161898.6537950006
lsb,1000000,1000,2,40,2,4376743.730955,4485634.730473001
lsb,1000000,1000,2,40,3,3680496.616207,3837802.3930649995
lsb,1000000,1000,2,40,4,4152467.921397,4290494.490232
lsb,1000000,1000,2,44,0,4282339.119143,4406011.202629999
lsb,1000000,1000,2,44,1,3924243.778304,4103691.9336119993
lsb,1000000,1000,2,44,2,3954288.964358,4137134.554689
lsb,1000000,1000,2,44,3,3973230.525394,4149987.6303670006
lsb,1000000,1000,2,44,4,4058505.829105,4191696.8080990002
lsb,1000000,1000,2,48,0,4334032.197277,4463957.801775
lsb,1000000,1000,2,48,1,4197872.196777,4351476.0805669995
lsb,1000000,1000,2,48,2,4081048.4956060005,4266902.45751
lsb,1000000,1000,2,48,3,4124082.705562,4279347.614273
lsb,1000000,1000,2,48,4,4147750.708501,4320255.79931
lsb,1000000,1000,4,1,0,1150058.804143,1159541.047795
lsb,1000000,1000,4,1,1,1151374.783141,1160785.278258
lsb,1000000,1000,4,1,2,1155367.242617,1163813.130801
lsb,1000000,1000,4,1,3,1146121.8900769998,1157857.5580459998
lsb,1000000,1000,4,1,4,1148801.89887,1158238.314886
lsb,1000000,1000,4,4,0,1666277.1415940002,1697122.3915940002
lsb,1000000,1000,4,4,1,1983426.116208,2016218.3989199998
lsb,1000000,1000,4,4,2,2446489.6435610005,2468743.4868150004
lsb,1000000,1000,4,4,3,1430829.5380850001,1451909.187002
lsb,1000000,1000,4,4,4,1345254.797847,1367396.265628
lsb,1000000,1000,4,8,0,2397484.3393510003,2427028.055184
lsb,1000000,1000,4,8,1,2118656.876944,2151317.652347
lsb,1000000,1000,4,8,2,2472189.0917990003,2505491.327646
lsb,1000000,1000,4,8,3,3675013.3686510003,3721285.4057660005
lsb,1000000,1000,4,8,4,2180220.208988,2224252.9829140003
lsb,1000000,1000,4,12,0,2192001.889159,2242901.547862
lsb,1000000,1000,4,12,1,3223991.657228,3380138.889647
lsb,1000000,1000,4,12,2,2259248.00391,2315748.6533220005
lsb,1000000,1000,4,12,3,2650884.154789,2710873.623547
lsb,1000000,1000,4,12,4,2296654.5141519997,2487252.382819
lsb,1000000,1000,4,16,0,3112890.048339,3177359.162109
lsb,1000000,1000,4,16,1,2314639.832997,2363151.8901420003
lsb,1000000,1000,4,16,2,2782796.505853,2840591.8066409994
lsb,1000000,1000,4,16,3,2518093.423827,2581536.570319
lsb,1000000,1000,4,16,4,2245403.0927649997,2306307.6308509996
lsb,1000000,1000,4,20,0,2305291.832026,2356510.156268
lsb,1000000,1000,4,20,1,3639701.002936,3710733.4843770005
lsb,1000000,1000,4,20,2,2574640.5605530003,2658104.4218789996
lsb,1000000,1000,4,20,3,2476459.8520449996,2543014.7358359997
lsb,1000000,1000,4,20,4,2804581.463857,2886211.961912
lsb,1000000,1000,4,24,0,3087685.5468719993,3144931.034179
lsb,1000000,1000,4,24,1,2736978.562994,2817077.768072
lsb,1000000,1000,4,24,2,2450404.8456960004,2531547.368157
lsb,1000000,1000,4,24,3,2922846.009277,3011393.858405
lsb,1000000,1000,4,24,4,3392411.3374040006,3476904.61572
lsb,1000000,1000,4,28,0,3419194.982423,3491472.675303
lsb,1000000,1000,4,28,1,3722173.673344,3812370.829101
lsb,1000000,1000,4,28,2,2531195.7377969995,2639159.233391
lsb,1000000,1000,4,28,3,3082712.429197,3139904.2070319997
lsb,1000000,1000,4,28,4,3154374.5493190004,3236393.489751
lsb,1000000,1000,4,32,0,2864503.6792,2985965.163567
lsb,1000000,1000,4,32,1,2634980.468737,2703013.7402330004
lsb,1000000,1000,4,32,2,2575317.31201,2716622.317877
lsb,1000000,1000,4,32,3,2723564.0493260003,2842373.5459080003
lsb,1000000,1000,4,32,4,2772089.2163100005,2890830.0483339997
lsb,1000000,1000,4,36,0,3297429.4853530005,3374413.3271359997
lsb,1000000,1000,4,36,1,2871592.222171,2988458.893072
lsb,1000000,1000,4,36,2,2910890.879392999,3014716.666495
lsb,1000000,1000,4,36,3,4158175.453126,4219932.400390999
